Dataset,Species,Condition,Hallmark,Gene,Log2FC,P_Value,Direction
GSE8762,Human,Huntington's Disease,Epigenetic_Alterations,HDAC1,-0.017,0.3054,DOWN
GSE8762,Human,Huntington's Disease,Epigenetic_Alterations,DNMT1,0.019,0.46,UP
GSE8762,Human,Huntington's Disease,Epigenetic_Alterations,KAT2A,0.013,0.6748,UP
GSE8762,Human,Huntington's Disease,Epigenetic_Alterations,EZH2,0.028,0.4913,UP
GSE8762,Human,Huntington's Disease,Epigenetic_Alterations,DNMT3A,-0.009,0.7733,DOWN
GSE8762,Human,Huntington's Disease,Epigenetic_Alterations,SIRT1,-0.049,0.4975,DOWN
GSE8762,Human,Huntington's Disease,Epigenetic_Alterations,DNMT3B,-0.004,0.8146,DOWN
GSE8762,Human,Huntington's Disease,Loss_of_Proteostasis,UBB,0.021,0.2996,UP
GSE8762,Human,Huntington's Disease,Loss_of_Proteostasis,HSPA1A,-0.006,0.8901,DOWN
GSE8762,Human,Huntington's Disease,Loss_of_Proteostasis,LAMP2,-0.046,0.5659,DOWN
GSE8762,Human,Huntington's Disease,Loss_of_Proteostasis,ATG5,-0.094,0.1149,DOWN
GSE8762,Human,Huntington's Disease,Loss_of_Proteostasis,PSMC1,-0.014,0.4139,DOWN
GSE8762,Human,Huntington's Disease,Loss_of_Proteostasis,HSP90AA1,-0.032,0.0295,DOWN
GSE8762,Human,Huntington's Disease,Nutrient_Sensing,PRKAA1,-0.021,0.6065,DOWN
GSE8762,Human,Huntington's Disease,Nutrient_Sensing,MTOR,-0.003,0.8834,DOWN
GSE8762,Human,Huntington's Disease,Nutrient_Sensing,IGF1R,-0.001,0.9848,DOWN
GSE8762,Human,Huntington's Disease,Nutrient_Sensing,FOXO3,0.068,0.1565,UP
GSE8762,Human,Huntington's Disease,Nutrient_Sensing,IGF1,0.008,0.8412,UP
GSE8762,Human,Huntington's Disease,Nutrient_Sensing,SIRT1,-0.049,0.4975,DOWN
GSE8762,Human,Huntington's Disease,Mitochondrial_Dysfunction,PARK2,-0.003,0.9273,DOWN
GSE8762,Human,Huntington's Disease,Mitochondrial_Dysfunction,SOD2,0.162,0.1599,UP
GSE8762,Human,Huntington's Disease,Mitochondrial_Dysfunction,PPARGC1A,0.012,0.5309,UP
GSE8762,Human,Huntington's Disease,Mitochondrial_Dysfunction,TFAM,-0.071,0.032,DOWN
GSE8762,Human,Huntington's Disease,Mitochondrial_Dysfunction,PINK1,0.052,0.2344,UP
GSE8762,Human,Huntington's Disease,Cellular_Senescence,SERPINE1,0.032,0.2739,UP
GSE8762,Human,Huntington's Disease,Cellular_Senescence,GLB1,-0.026,0.6874,DOWN
GSE8762,Human,Huntington's Disease,Cellular_Senescence,TP53,-0.033,0.4087,DOWN
GSE8762,Human,Huntington's Disease,Cellular_Senescence,CDKN1A,0.122,0.0418,UP
GSE8762,Human,Huntington's Disease,Cellular_Senescence,RB1,-0.036,0.4289,DOWN
GSE8762,Human,Huntington's Disease,Cellular_Senescence,CDKN2A,-0.002,0.9202,DOWN
GSE8762,Human,Huntington's Disease,Stem_Cell_Exhaustion,TERT,0.023,0.57,UP
GSE8762,Human,Huntington's Disease,Stem_Cell_Exhaustion,BMI1,-0.044,0.1991,DOWN
GSE8762,Human,Huntington's Disease,Stem_Cell_Exhaustion,POU5F1,0.007,0.7943,UP
GSE8762,Human,Huntington's Disease,Stem_Cell_Exhaustion,SOX2,0.014,0.5991,UP
GSE8762,Human,Huntington's Disease,Stem_Cell_Exhaustion,NANOG,-0.052,0.0335,DOWN
GSE8762,Human,Huntington's Disease,Stem_Cell_Exhaustion,KLF4,0.012,0.8878,UP
GSE8762,Human,Huntington's Disease,Altered_Intercellular_Comm,CXCL8,0.319,0.1525,UP
GSE8762,Human,Huntington's Disease,Altered_Intercellular_Comm,TGFB1,0.026,0.2654,UP
GSE8762,Human,Huntington's Disease,Altered_Intercellular_Comm,IL1B,0.502,0.0487,UP
GSE8762,Human,Huntington's Disease,Altered_Intercellular_Comm,IL6,0.1,0.4833,UP
GSE8762,Human,Huntington's Disease,Altered_Intercellular_Comm,TNF,0.426,0.0541,UP
GSE8762,Human,Huntington's Disease,Altered_Intercellular_Comm,NFKB1,0.014,0.6923,UP
GSE35642,Human,Parkinsonism (in vitro),Genomic_Instability,TP53,0.08,0.3794,UP
GSE35642,Human,Parkinsonism (in vitro),Genomic_Instability,XRCC1,-0.077,0.4384,DOWN
GSE35642,Human,Parkinsonism (in vitro),Genomic_Instability,BRCA1,0.383,0.0089,UP
GSE35642,Human,Parkinsonism (in vitro),Genomic_Instability,ATM,0.174,0.21,UP
GSE35642,Human,Parkinsonism (in vitro),Genomic_Instability,PARP1,-0.09,0.2639,DOWN
GSE35642,Human,Parkinsonism (in vitro),Genomic_Instability,ATR,0.287,0.2921,UP
GSE35642,Human,Parkinsonism (in vitro),Telomere_Attrition,POT1,0.184,0.4847,UP
GSE35642,Human,Parkinsonism (in vitro),Telomere_Attrition,TERT,-0.081,0.5108,DOWN
GSE35642,Human,Parkinsonism (in vitro),Telomere_Attrition,TINF2,-0.115,0.3452,DOWN
GSE35642,Human,Parkinsonism (in vitro),Epigenetic_Alterations,HDAC1,0.001,0.9881,UP
GSE35642,Human,Parkinsonism (in vitro),Epigenetic_Alterations,DNMT1,0.192,0.0127,UP
GSE35642,Human,Parkinsonism (in vitro),Epigenetic_Alterations,KAT2A,-0.076,0.5244,DOWN
GSE35642,Human,Parkinsonism (in vitro),Epigenetic_Alterations,EZH2,0.138,0.2158,UP
GSE35642,Human,Parkinsonism (in vitro),Epigenetic_Alterations,DNMT3A,-0.25,0.0349,DOWN
GSE35642,Human,Parkinsonism (in vitro),Epigenetic_Alterations,SIRT1,0.294,0.3903,UP
GSE35642,Human,Parkinsonism (in vitro),Epigenetic_Alterations,DNMT3B,-0.079,0.6931,DOWN
GSE35642,Human,Parkinsonism (in vitro),Loss_of_Proteostasis,UBB,0.226,0.0823,UP
GSE35642,Human,Parkinsonism (in vitro),Loss_of_Proteostasis,HSPA1A,0.712,0.0117,UP
GSE35642,Human,Parkinsonism (in vitro),Loss_of_Proteostasis,LAMP2,-0.222,0.4323,DOWN
GSE35642,Human,Parkinsonism (in vitro),Loss_of_Proteostasis,ATG5,-0.015,0.9312,DOWN
GSE35642,Human,Parkinsonism (in vitro),Loss_of_Proteostasis,PSMC1,0.163,0.1763,UP
GSE35642,Human,Parkinsonism (in vitro),Loss_of_Proteostasis,HSP90AA1,0.107,0.3284,UP
GSE35642,Human,Parkinsonism (in vitro),Nutrient_Sensing,MTOR,-0.077,0.3399,DOWN
GSE35642,Human,Parkinsonism (in vitro),Nutrient_Sensing,IGF1R,0.253,0.3767,UP
GSE35642,Human,Parkinsonism (in vitro),Nutrient_Sensing,FOXO3,-0.16,0.0494,DOWN
GSE35642,Human,Parkinsonism (in vitro),Nutrient_Sensing,IGF1,-0.327,0.0413,DOWN
GSE35642,Human,Parkinsonism (in vitro),Nutrient_Sensing,PRKAA1,-0.035,0.8553,DOWN
GSE35642,Human,Parkinsonism (in vitro),Nutrient_Sensing,SIRT1,0.294,0.3903,UP
GSE35642,Human,Parkinsonism (in vitro),Mitochondrial_Dysfunction,TFAM,0.092,0.617,UP
GSE35642,Human,Parkinsonism (in vitro),Mitochondrial_Dysfunction,PARK2,0.402,0.2905,UP
GSE35642,Human,Parkinsonism (in vitro),Mitochondrial_Dysfunction,PINK1,0.181,0.1404,UP
GSE35642,Human,Parkinsonism (in vitro),Mitochondrial_Dysfunction,SOD2,-0.127,0.3728,DOWN
GSE35642,Human,Parkinsonism (in vitro),Mitochondrial_Dysfunction,PPARGC1A,0.327,0.1308,UP
GSE35642,Human,Parkinsonism (in vitro),Cellular_Senescence,GLB1,-0.069,0.655,DOWN
GSE35642,Human,Parkinsonism (in vitro),Cellular_Senescence,TP53,0.08,0.3794,UP
GSE35642,Human,Parkinsonism (in vitro),Cellular_Senescence,CDKN1A,0.004,0.9777,UP
GSE35642,Human,Parkinsonism (in vitro),Cellular_Senescence,SERPINE1,-0.008,0.9795,DOWN
GSE35642,Human,Parkinsonism (in vitro),Cellular_Senescence,RB1,0.169,0.4563,UP
GSE35642,Human,Parkinsonism (in vitro),Cellular_Senescence,CDKN2A,-0.035,0.5313,DOWN
GSE35642,Human,Parkinsonism (in vitro),Stem_Cell_Exhaustion,BMI1,0.189,0.5872,UP
GSE35642,Human,Parkinsonism (in vitro),Stem_Cell_Exhaustion,TERT,-0.081,0.5108,DOWN
GSE35642,Human,Parkinsonism (in vitro),Stem_Cell_Exhaustion,POU5F1,-0.077,0.8358,DOWN
GSE35642,Human,Parkinsonism (in vitro),Stem_Cell_Exhaustion,SOX2,0.29,0.1445,UP
GSE35642,Human,Parkinsonism (in vitro),Stem_Cell_Exhaustion,NANOG,-0.297,0.5288,DOWN
GSE35642,Human,Parkinsonism (in vitro),Stem_Cell_Exhaustion,KLF4,-0.027,0.8476,DOWN
GSE35642,Human,Parkinsonism (in vitro),Altered_Intercellular_Comm,CXCL8,0.24,0.139,UP
GSE35642,Human,Parkinsonism (in vitro),Altered_Intercellular_Comm,TGFB1,0.004,0.9892,UP
GSE35642,Human,Parkinsonism (in vitro),Altered_Intercellular_Comm,IL1B,-0.052,0.6281,DOWN
GSE35642,Human,Parkinsonism (in vitro),Altered_Intercellular_Comm,IL6,-0.416,0.0869,DOWN
GSE35642,Human,Parkinsonism (in vitro),Altered_Intercellular_Comm,TNF,-0.079,0.8227,DOWN
GSE35642,Human,Parkinsonism (in vitro),Altered_Intercellular_Comm,NFKB1,-0.2,0.0785,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Genomic_Instability,Xrcc1,0.066,0.6451,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Genomic_Instability,Atm,0.005,0.9609,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Genomic_Instability,Parp1,-0.408,0.0026,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Genomic_Instability,Brca1,0.526,0.0318,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Genomic_Instability,Trp53,0.297,0.0066,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Genomic_Instability,Atr,0.037,0.7937,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Telomere_Attrition,Terf1,0.142,0.3031,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Telomere_Attrition,Pot1a,-0.043,0.6285,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Telomere_Attrition,Tinf2,0.318,0.0002,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Telomere_Attrition,Tert,0.513,0.1725,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Epigenetic_Alterations,Ezh2,0.568,0.0249,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Epigenetic_Alterations,Dnmt3b,0.349,0.2378,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Epigenetic_Alterations,Sirt1,-0.164,0.3085,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Epigenetic_Alterations,Dnmt1,0.039,0.7774,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Epigenetic_Alterations,Kat2a,-0.059,0.3768,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Epigenetic_Alterations,Dnmt3a,0.122,0.3457,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Epigenetic_Alterations,Hdac1,0.134,0.3478,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Loss_of_Proteostasis,Atg5,0.037,0.6486,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Loss_of_Proteostasis,Psmc1,-0.223,0.0001,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Loss_of_Proteostasis,Lamp2,0.946,0.0001,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Loss_of_Proteostasis,Hsp90aa1,-0.266,0.0006,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Loss_of_Proteostasis,Ubb,0.026,0.698,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Loss_of_Proteostasis,Hspa1a,-0.207,0.3764,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Nutrient_Sensing,Mtor,-0.121,0.1993,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Nutrient_Sensing,Sirt1,-0.164,0.3085,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Nutrient_Sensing,Igf1,1.115,0.0,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Nutrient_Sensing,Igf1r,-0.226,0.0015,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Nutrient_Sensing,Prkaa2,-0.393,0.0002,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Nutrient_Sensing,Foxo3,0.009,0.9469,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Nutrient_Sensing,Prkaa1,-0.196,0.2289,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Mitochondrial_Dysfunction,Sod2,-0.059,0.5635,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Mitochondrial_Dysfunction,Park2,0.135,0.4404,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Mitochondrial_Dysfunction,Ppargc1a,-0.417,0.0111,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Mitochondrial_Dysfunction,Pink1,-0.017,0.6704,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Mitochondrial_Dysfunction,Tfam,-0.099,0.2068,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Cellular_Senescence,Glb1,0.877,0.0,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Cellular_Senescence,Rb1,0.383,0.0086,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Cellular_Senescence,Serpine1,1.487,0.0677,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Cellular_Senescence,Cdkn1a,0.381,0.6554,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Cellular_Senescence,Trp53,0.297,0.0066,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Cellular_Senescence,Cdkn2a,0.943,0.1988,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Stem_Cell_Exhaustion,Sox2,0.173,0.4412,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Stem_Cell_Exhaustion,Klf4,0.164,0.369,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Stem_Cell_Exhaustion,Bmi1,-0.133,0.1345,DOWN
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Stem_Cell_Exhaustion,Pou5f1,1.138,0.2988,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Stem_Cell_Exhaustion,Nanog,2.513,0.047,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Stem_Cell_Exhaustion,Tert,0.513,0.1725,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Altered_Intercellular_Comm,Tnf,1.322,0.1586,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Altered_Intercellular_Comm,Tgfb1,1.826,0.0,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Altered_Intercellular_Comm,Nfkb1,0.74,0.0,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Altered_Intercellular_Comm,Il1b,0.732,0.0055,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Altered_Intercellular_Comm,Cxcl2,0.266,0.7878,UP
GSE23182,Mouse,Chronic Neurodegeneration + Inflammation,Altered_Intercellular_Comm,Il6,0.283,0.7527,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Genomic_Instability,Xrcc1,0.012,0.0416,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Genomic_Instability,Atm,-0.001,0.9531,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Genomic_Instability,Parp1,-0.003,0.4205,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Genomic_Instability,Brca1,-0.014,0.1466,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Genomic_Instability,Trp53,-0.006,0.2909,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Genomic_Instability,Atr,0.01,0.4037,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Telomere_Attrition,Terf1,-0.01,0.4383,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Telomere_Attrition,Pot1a,-0.002,0.7615,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Telomere_Attrition,Tinf2,0.012,0.0566,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Telomere_Attrition,Tert,0.018,0.1189,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Epigenetic_Alterations,Ezh2,-0.001,0.9284,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Epigenetic_Alterations,Dnmt3b,0.006,0.5193,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Epigenetic_Alterations,Sirt1,0.025,0.0806,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Epigenetic_Alterations,Dnmt1,-0.01,0.2242,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Epigenetic_Alterations,Kat2a,-0.001,0.8871,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Epigenetic_Alterations,Dnmt3a,-0.041,0.0001,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Epigenetic_Alterations,Hdac1,0.006,0.2258,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Loss_of_Proteostasis,Atg5,-0.019,0.0348,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Loss_of_Proteostasis,Psmc1,-0.006,0.0774,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Loss_of_Proteostasis,Lamp2,0.008,0.5417,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Loss_of_Proteostasis,Hsp90aa1,-0.014,0.0114,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Loss_of_Proteostasis,Ubb,-0.005,0.0345,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Loss_of_Proteostasis,Hspa1a,-0.032,0.029,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Nutrient_Sensing,Mtor,0.013,0.0383,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Nutrient_Sensing,Sirt1,0.025,0.0806,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Nutrient_Sensing,Igf1,0.023,0.3927,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Nutrient_Sensing,Igf1r,-0.021,0.0209,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Nutrient_Sensing,Prkaa2,-0.01,0.1649,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Nutrient_Sensing,Foxo3,0.012,0.0077,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Nutrient_Sensing,Prkaa1,-0.024,0.2791,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Mitochondrial_Dysfunction,Sod2,0.002,0.7575,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Mitochondrial_Dysfunction,Park2,0.01,0.2357,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Mitochondrial_Dysfunction,Ppargc1a,-0.007,0.376,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Mitochondrial_Dysfunction,Pink1,0.003,0.4194,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Mitochondrial_Dysfunction,Tfam,0.005,0.5238,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Cellular_Senescence,Glb1,-0.006,0.4103,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Cellular_Senescence,Rb1,-0.009,0.1605,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Cellular_Senescence,Serpine1,0.02,0.1947,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Cellular_Senescence,Cdkn1a,0.025,0.2518,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Cellular_Senescence,Trp53,-0.006,0.2909,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Cellular_Senescence,Cdkn2a,0.009,0.5807,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Stem_Cell_Exhaustion,Sox2,-0.035,0.1224,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Stem_Cell_Exhaustion,Klf4,-0.008,0.5587,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Stem_Cell_Exhaustion,Bmi1,-0.01,0.2133,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Stem_Cell_Exhaustion,Pou5f1,0.0,0.9967,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Stem_Cell_Exhaustion,Nanog,-0.007,0.4992,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Stem_Cell_Exhaustion,Tert,0.018,0.1189,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Altered_Intercellular_Comm,Tnf,-0.003,0.8379,DOWN
GSE26600,Mouse,MAM Genotoxin Exposure,Altered_Intercellular_Comm,Tgfb1,0.03,0.0025,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Altered_Intercellular_Comm,Nfkb1,0.003,0.5105,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Altered_Intercellular_Comm,Il1b,0.018,0.1827,UP
