"ID","Symbol","Name","Expression","Other databases"
"10541","ANP32B","acidic nuclear phosphoprotein 32 family member B","Under-expressed","GA:Hsµ"
"81611","ANP32E","acidic nuclear phosphoprotein 32 family member E","Under-expressed",""
"84168","ANTXR1","ANTXR cell adhesion molecule 1","Over-expressed",""
"307","ANXA4","annexin A4","Over-expressed","GA:Hsµ"
"316","AOX1","aldehyde oxidase 1","Over-expressed","GA:CeGA:DmGA:HsµL:Hs"
"164284","APCDD1L","APC down-regulated 1 like","Under-expressed",""
"328","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","Under-expressed","GA:CeGA:HsL:HsCA:Hs"
"27301","APEX2","apurinic/apyrimidinic endodeoxyribonuclease 2","Under-expressed",""
"83464","APH1B","aph-1 homolog B, gamma-secretase subunit","Over-expressed",""
"333","APLP1","amyloid beta precursor like protein 1","Over-expressed","GA:Ce"
"9582","APOBEC3B","apolipoprotein B mRNA editing enzyme catalytic subunit 3B","Under-expressed",""
"341","APOC1","apolipoprotein C1","Under-expressed","L:Hs"
"23780","APOL2","apolipoprotein L2","Over-expressed",""
"351","APP","amyloid beta precursor protein","Over-expressed","GA:HsGA:Hsµ"
"378","ARF4","ADP ribosylation factor 4","Over-expressed",""
"9824","ARHGAP11A","Rho GTPase activating protein 11A","Under-expressed",""
"9411","ARHGAP29","Rho GTPase activating protein 29","Over-expressed",""
"50650","ARHGEF3","Rho guanine nucleotide exchange factor 3","Over-expressed","GA:Sc"
"389337","ARHGEF37","Rho guanine nucleotide exchange factor 37","Over-expressed",""
"54622","ARL15","ADP ribosylation factor like GTPase 15","Over-expressed",""
"151188","ARL6IP6","ADP ribosylation factor like GTPase 6 interacting protein 6","Under-expressed",""
"80210","ARMC9","armadillo repeat containing 9","Over-expressed",""
"51566","ARMCX3","armadillo repeat containing X-linked 3","Over-expressed",""
"91947","ARRDC4","arrestin domain containing 4","Over-expressed",""
"57412","AS3MT","arsenite methyltransferase","Under-expressed",""
"427","ASAH1","N-acylsphingosine amidohydrolase 1","Over-expressed","GA:HsµCA:Hs"
"55723","ASF1B","anti-silencing function 1B histone chaperone","Under-expressed","GA:Sc"
"440","ASNS","asparagine synthetase (glutamine-hydrolyzing)","Under-expressed",""
"259266","ASPM","assembly factor for spindle microtubules","Under-expressed",""
"29028","ATAD2","ATPase family AAA domain containing 2","Under-expressed","GA:Sc"
"115201","ATG4A","autophagy related 4A cysteine peptidase","Over-expressed","GA:Ce"
"57205","ATP10D","ATPase phospholipid transporting 10D (putative)","Over-expressed",""
"493","ATP2B4","ATPase plasma membrane Ca2+ transporting 4","Over-expressed",""
"509","ATP5F1C","ATP synthase F1 subunit gamma","Under-expressed","GA:ScGA:Hsµ"
"537","ATP6AP1","ATPase H+ transporting accessory protein 1","Over-expressed",""
"10159","ATP6AP2","ATPase H+ transporting accessory protein 2","Over-expressed",""
"50617","ATP6V0A4","ATPase H+ transporting V0 subunit a4","Over-expressed","GA:Sc"
"527","ATP6V0C","ATPase H+ transporting V0 subunit c","Over-expressed","CA:Hs"
"9114","ATP6V0D1","ATPase H+ transporting V0 subunit d1","Over-expressed","GA:ScDR:Sc"
"8992","ATP6V0E1","ATPase H+ transporting V0 subunit e1","Over-expressed",""
"523","ATP6V1A","ATPase H+ transporting V1 subunit A","Over-expressed","GA:Sc"
"9550","ATP6V1G1","ATPase H+ transporting V1 subunit G1","Over-expressed",""
"6790","AURKA","aurora kinase A","Under-expressed","CA:Hs"
"9212","AURKB","aurora kinase B","Under-expressed","CA:Hs"
"55971","BAIAP2L1","BAR/IMD domain containing adaptor protein 2 like 1","Over-expressed",""
"8815","BANF1","BAF nuclear assembly factor 1","Under-expressed",""
"580","BARD1","BRCA1 associated RING domain 1","Under-expressed",""
"11177","BAZ1A","bromodomain adjacent to zinc finger domain 1A","Under-expressed","GA:ScCA:Hs"
"9031","BAZ1B","bromodomain adjacent to zinc finger domain 1B","Under-expressed","GA:Sc"
"83596","BCL2L12","BCL2 like 12","Under-expressed",""
"617","BCS1L","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone","Under-expressed","GA:Sc"
"633","BGN","biglycan","Under-expressed",""
"332","BIRC5","baculoviral IAP repeat containing 5","Under-expressed","CA:Hs"
"10904","BLCAP","BLCAP apoptosis inducing factor","Over-expressed",""
"641","BLM","BLM RecQ like helicase","Under-expressed","GA:ScGA:CeGA:HsL:Hs"
"154743","BMT2","base methyltransferase of 25S rRNA 2 homolog","Over-expressed",""
"79866","BORA","BORA aurora kinase A activator","Under-expressed",""
"669","BPGM","bisphosphoglycerate mutase","Over-expressed",""
"672","BRCA1","BRCA1 DNA repair associated","Under-expressed","GA:MmGA:HsL:HsCA:Hs"
"25798","BRI3","brain protein I3","Over-expressed",""
"140707","BRI3BP","BRI3 binding protein","Under-expressed",""
"83990","BRIP1","BRCA1 interacting protein C-terminal helicase 1","Under-expressed","GA:ScL:HsCA:Hs"
"55299","BRIX1","biogenesis of ribosomes BRX1","Under-expressed",""
"55108","BSDC1","BSD domain containing 1","Over-expressed",""
"685","BTC","betacellulin","Over-expressed",""
"7832","BTG2","BTG anti-proliferation factor 2","Over-expressed","CA:Hs"
"699","BUB1","BUB1 mitotic checkpoint serine/threonine kinase","Under-expressed","CA:Hs"
"701","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","Under-expressed","GA:MmGA:HsCA:Hs"
"9184","BUB3","BUB3 mitotic checkpoint protein","Under-expressed","GA:MmGA:CeGA:Hs"
"84811","BUD13","BUD13 homolog","Under-expressed",""
"387763","C11orf96","chromosome 11 open reading frame 96","Over-expressed",""
"121053","C12orf45","chromosome 12 open reading frame 45","Under-expressed",""
"84419","C15orf48","chromosome 15 open reading frame 48","Over-expressed",""
"147685","C19orf18","chromosome 19 open reading frame 18","Over-expressed",""
"84798","C19orf48","chromosome 19 open reading frame 48","Under-expressed",""
"339448","C1orf174","chromosome 1 open reading frame 174","Under-expressed",""
"84886","C1orf198","chromosome 1 open reading frame 198","Over-expressed",""
"708","C1QBP","complement C1q binding protein","Under-expressed",""
"718","C3","complement C3","Over-expressed","GA:HsµL:Hs"
"57415","C3orf14","chromosome 3 open reading frame 14","Under-expressed",""
"389336","C5orf46","chromosome 5 open reading frame 46","Over-expressed",""
"401466","C8orf59","ribosomal biogenesis factor","Under-expressed",""
"100127983","C8orf88","chromosome 8 open reading frame 88","Under-expressed",""
"84267","C9orf64","chromosome 9 open reading frame 64","Under-expressed",""
"57658","CALCOCO1","calcium binding and coiled-coil domain 1","Over-expressed",""
"800","CALD1","caldesmon 1","Over-expressed",""
"91860","CALML4","calmodulin like 4","Under-expressed",""
"10486","CAP2","cyclase associated actin cytoskeleton regulatory protein 2","Over-expressed",""
"834","CASP1","caspase 1","Under-expressed","GA:CeGA:CeGA:Hsµ"
"352954","CASTOR3","CASTOR family member 3","Over-expressed",""
"858","CAV2","caveolin 2","Over-expressed",""
"347273","CAVIN4","caveolae associated protein 4","Over-expressed",""
"874","CBR3","carbonyl reductase 3","Under-expressed",""
"875","CBS","cystathionine beta-synthase","Under-expressed","GA:ScGA:DmDR:DmCA:Hs"
"11335","CBX3","chromobox 3","Under-expressed",""
"23468","CBX5","chromobox 5","Under-expressed","GA:DmCA:Hs"
"23492","CBX7","chromobox 7","Over-expressed","CA:Hs"
"147372","CCBE1","collagen and calcium binding EGF domains 1","Under-expressed",""
"165055","CCDC138","coiled-coil domain containing 138","Under-expressed",""
"131076","CCDC58","coiled-coil domain containing 58","Under-expressed",""
"84318","CCDC77","coiled-coil domain containing 77","Under-expressed",""
"83987","CCDC8","coiled-coil domain containing 8","Under-expressed",""
"388115","CCDC9B","coiled-coil domain containing 9B","Over-expressed",""
"890","CCNA2","cyclin A2","Under-expressed","GA:ScGA:ScGA:HsCA:Hs"
"891","CCNB1","cyclin B1","Under-expressed","GA:ScGA:ScCA:Hs"
"9133","CCNB2","cyclin B2","Under-expressed","GA:ScGA:Sc"
"595","CCND1","cyclin D1","Over-expressed","GA:ScGA:ScL:HsCA:Hs"
"894","CCND2","cyclin D2","Over-expressed","GA:ScGA:Sc"
"9134","CCNE2","cyclin E2","Under-expressed","GA:ScGA:Sc"
"899","CCNF","cyclin F","Under-expressed",""
"900","CCNG1","cyclin G1","Over-expressed","GA:Hsµ"
"54619","CCNJ","cyclin J","Under-expressed",""
"10576","CCT2","chaperonin containing TCP1 subunit 2","Under-expressed",""
"22948","CCT5","chaperonin containing TCP1 subunit 5","Under-expressed",""
"283316","CD163L1","CD163 molecule like 1","Over-expressed","GA:Dm"
"948","CD36","CD36 molecule","Over-expressed",""
"975","CD81","CD81 molecule","Over-expressed",""
"991","CDC20","cell division cycle 20","Under-expressed","GA:CeGA:Sc"
"994","CDC25B","cell division cycle 25B","Under-expressed","GA:CeGA:Ce"
"995","CDC25C","cell division cycle 25C","Under-expressed","GA:CeGA:Ce"
"23580","CDC42EP4","CDC42 effector protein 4","Under-expressed",""
"8318","CDC45","cell division cycle 45","Under-expressed","CA:Hs"
"990","CDC6","cell division cycle 6","Under-expressed","GA:ScCA:Hs"
"8317","CDC7","cell division cycle 7","Under-expressed","CA:Hs"
"157313","CDCA2","cell division cycle associated 2","Under-expressed","CA:Hs"
"83461","CDCA3","cell division cycle associated 3","Under-expressed",""
"55038","CDCA4","cell division cycle associated 4","Under-expressed","CA:Hs"
"113130","CDCA5","cell division cycle associated 5","Under-expressed",""
"83879","CDCA7","cell division cycle associated 7","Under-expressed",""
"55536","CDCA7L","cell division cycle associated 7 like","Under-expressed",""
"55143","CDCA8","cell division cycle associated 8","Under-expressed",""
"1008","CDH10","cadherin 10","Over-expressed",""
"1009","CDH11","cadherin 11","Under-expressed",""
"983","CDK1","cyclin dependent kinase 1","Under-expressed","GA:HsCA:Hs"
"1017","CDK2","cyclin dependent kinase 2","Under-expressed","CA:Hs"
"1019","CDK4","cyclin dependent kinase 4","Under-expressed","CA:Hs"
"55755","CDK5RAP2","CDK5 regulatory subunit associated protein 2","Under-expressed",""
"1026","CDKN1A","cyclin dependent kinase inhibitor 1A","Over-expressed","GA:MmGA:HsGA:HsµL:HsCA:Hs"
"1029","CDKN2A","cyclin dependent kinase inhibitor 2A","Over-expressed","GA:HsL:HsCA:Hs"
"1030","CDKN2B","cyclin dependent kinase inhibitor 2B","Over-expressed","GA:HsL:HsCA:Hs"
"1031","CDKN2C","cyclin dependent kinase inhibitor 2C","Under-expressed","L:Hs"
"1033","CDKN3","cyclin dependent kinase inhibitor 3","Under-expressed",""
"81620","CDT1","chromatin licensing and DNA replication factor 1","Under-expressed",""
"10153","CEBPZ","CCAAT enhancer binding protein zeta","Under-expressed",""
"1058","CENPA","centromere protein A","Under-expressed","CA:Hs"
"1062","CENPE","centromere protein E","Under-expressed",""
"1063","CENPF","centromere protein F","Under-expressed",""
"64946","CENPH","centromere protein H","Under-expressed",""
"2491","CENPI","centromere protein I","Under-expressed",""
"55835","CENPJ","centromere protein J","Under-expressed",""
"64105","CENPK","centromere protein K","Under-expressed",""
"79019","CENPM","centromere protein M","Under-expressed",""
"55839","CENPN","centromere protein N","Under-expressed",""
"55166","CENPQ","centromere protein Q","Under-expressed",""
"79682","CENPU","centromere protein U","Under-expressed",""
"387103","CENPW","centromere protein W","Under-expressed",""
"145508","CEP128","centrosomal protein 128","Under-expressed","L:Hs"
"9662","CEP135","centrosomal protein 135","Under-expressed",""
"22832","CEP162","centrosomal protein 162","Under-expressed",""
"55165","CEP55","centrosomal protein 55","Under-expressed",""
"9702","CEP57","centrosomal protein 57","Under-expressed",""
"285753","CEP57L1","centrosomal protein 57 like 1","Under-expressed",""
"80321","CEP70","centrosomal protein 70","Under-expressed",""
"84131","CEP78","centrosomal protein 78","Under-expressed",""
"51134","CEP83","centrosomal protein 83","Under-expressed",""
"51148","CERCAM","cerebral endothelial cell adhesion molecule","Over-expressed",""
"115004","CGAS","cyclic GMP-AMP synthase","Under-expressed",""
"10036","CHAF1A","chromatin assembly factor 1 subunit A","Under-expressed",""
"8208","CHAF1B","chromatin assembly factor 1 subunit B","Under-expressed","CA:Hs"
"1105","CHD1","chromodomain helicase DNA binding protein 1","Under-expressed","GA:Sc"
"1111","CHEK1","checkpoint kinase 1","Under-expressed","GA:CeCA:Hs"
"54480","CHPF2","chondroitin polymerizing factor 2","Over-expressed",""
"57650","CIP2A","cellular inhibitor of PP2A","Under-expressed","CA:Hs"
"11113","CIT","citron rho-interacting serine/threonine kinase","Under-expressed","CA:Hs"
"10370","CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2","Over-expressed",""
"26586","CKAP2","cytoskeleton associated protein 2","Under-expressed","CA:Hs"
"150468","CKAP2L","cytoskeleton associated protein 2 like","Under-expressed",""
"1163","CKS1B","CDC28 protein kinase regulatory subunit 1B","Under-expressed",""
"1164","CKS2","CDC28 protein kinase regulatory subunit 2","Under-expressed",""
"9076","CLDN1","claudin 1","Over-expressed","DR:Mm"
"5010","CLDN11","claudin 11","Under-expressed",""
"25999","CLIP3","CAP-Gly domain containing linker protein 3","Over-expressed",""
"2055","CLN8","complement factor H","Over-expressed",""
"63967","CLSPN","claspin","Under-expressed","CA:Hs"
"56942","CMC2","C-X9-C motif containing 2","Under-expressed",""
"84319","CMSS1","cms1 ribosomal small subunit homolog","Under-expressed",""
"202333","CMYA5","cardiomyopathy associated 5","Over-expressed",""
"1264","CNN1","calponin 1","Over-expressed","GA:Sc"
"54805","CNNM2","cyclin and CBS domain divalent metal cation transport mediator 2","Over-expressed",""
"57472","CNOT6","CCR4-NOT transcription complex subunit 6","Under-expressed","GA:CeCA:Hs"
"25927","CNRIP1","cannabinoid receptor interacting protein 1","Under-expressed",""
"11064","CNTRL","centriolin","Under-expressed","GA:Hsµ"
"22837","COBLL1","cordon-bleu WH2 repeat protein like 1","Over-expressed","DR:Mm"
"1306","COL15A1","collagen type XV alpha 1 chain","Under-expressed","GA:HsµDR:Mm"
"50509","COL5A3","collagen type V alpha 3 chain","Under-expressed",""
"1293","COL6A3","collagen type VI alpha 3 chain","Under-expressed","L:Hs"
"1295","COL8A1","collagen type VIII alpha 1 chain","Over-expressed",""
"81035","COLEC12","collectin subfamily member 12","Under-expressed",""
"80219","COQ10B","coenzyme Q10B","Over-expressed",""
"27235","COQ2","coenzyme Q2, polyprenyltransferase","Under-expressed","GA:Dm"
"51805","COQ3","coenzyme Q3, methyltransferase","Under-expressed","GA:Sc"
"1346","COX7A1","cytochrome c oxidase subunit 7A1","Over-expressed",""
"51200","CPA4","carboxypeptidase A4","Over-expressed",""
"221184","CPNE2","copine 2","Under-expressed",""
"55313","CPPED1","calcineurin like phosphoesterase domain containing 1","Over-expressed",""
"10404","CPQ","carboxypeptidase Q","Over-expressed",""
"153222","CREBRF","CREB3 regulatory factor","Over-expressed",""
"8804","CREG1","cellular repressor of E1A stimulated genes 1","Over-expressed","GA:HsµCA:Hs"
"83690","CRISPLD1","cysteine rich secretory protein LCCL domain containing 1","Under-expressed","GA:CeGA:CeGA:Ce"
"1410","CRYAB","crystallin alpha B","Over-expressed","GA:CeGA:CeGA:CeGA:DmGA:DmGA:DmGA:CeGA:DmGA:Hsµ"
"202","CRYBG1","crystallin beta-gamma domain containing 1","Under-expressed",""
"51084","CRYL1","crystallin lambda 1","Over-expressed","GA:Hsµ"
"1434","CSE1L","chromosome segregation 1 like","Under-expressed",""
"10664","CTCF","CCCTC-binding factor","Under-expressed",""
"51496","CTDSPL2","CTD small phosphatase like 2","Under-expressed",""
"1490","CTGF","cellular communication network factor 2","Over-expressed","GA:HsGA:HsµDR:MmCA:Hs"
"8727","CTNNAL1","catenin alpha like 1","Under-expressed","CA:Hs"
"5476","CTSA","cathepsin A","Over-expressed",""
"1508","CTSB","cathepsin B","Over-expressed","GA:HsµCA:Hs"
"1075","CTSC","cathepsin C","Under-expressed","GA:Hsµ"
"1509","CTSD","cathepsin D","Over-expressed","CA:Hs"
"8722","CTSF","cathepsin F","Over-expressed",""
"1522","CTSZ","cathepsin Z","Over-expressed","GA:Hsµ"
"55280","CWF19L1","CWF19 like cell cycle control factor 1","Under-expressed",""
"3627","CXCL10","C-X-C motif chemokine ligand 10","Over-expressed",""
"6387","CXCL12","C-X-C motif chemokine ligand 12","Under-expressed",""
"220002","CYB561A3","cytochrome b561 family member A3","Over-expressed",""
"124936","CYB5D2","cytochrome b5 domain containing 2","Over-expressed",""
"51706","CYB5R1","cytochrome b5 reductase 1","Over-expressed",""
"26999","CYFIP2","cytoplasmic FMR1 interacting protein 2","Over-expressed",""
"113612","CYP2U1","cytochrome P450 family 2 subfamily U member 1","Over-expressed",""
"84418","CYSTM1","cysteine rich transmembrane module containing 1","Over-expressed",""
"54360","CYTL1","cytokine like 1","Under-expressed",""
"1601","DAB2","DAB adaptor protein 2","Over-expressed",""
"221955","DAGLB","diacylglycerol lipase beta","Over-expressed","GA:Ce"
"1615","DARS","aspartyl-tRNA synthetase 1","Under-expressed",""
"55157","DARS2","aspartyl-tRNA synthetase 2, mitochondrial","Under-expressed",""
"26528","DAZAP1","DAZ associated protein 1","Under-expressed",""
"10926","DBF4","DBF4 zinc finger","Under-expressed",""
"1622","DBI","diazepam binding inhibitor, acyl-CoA binding protein","Under-expressed","GA:Sc"
"285761","DCBLD1","discoidin, CUB and LCCL domain containing 1","Over-expressed",""
"8642","DCHS1","dachsous cadherin-related 1","Under-expressed",""
"28960","DCPS","decapping enzyme, scavenger","Under-expressed","L:Hs"
"79016","DDA1","DET1 and DDB1 associated 1","Over-expressed",""
"23576","DDAH1","dimethylarginine dimethylaminohydrolase 1","Over-expressed",""
"1643","DDB2","damage specific DNA binding protein 2","Over-expressed","L:HsCA:Hs"
"220042","DDIAS","DNA damage induced apoptosis suppressor","Under-expressed",""
"115265","DDIT4L","DNA damage inducible transcript 4 like","Under-expressed",""
"1663","DDX11","DEAD/H-box helicase 11","Under-expressed","GA:Sc"
"8886","DDX18","DEAD-box helicase 18","Under-expressed","GA:Ce"
"10212","DDX39A","DExD-box helicase 39A","Under-expressed","GA:Ce"
"23586","DDX58","DExD/H-box helicase 58","Over-expressed",""
"7913","DEK","DEK proto-oncogene","Under-expressed","CA:Hs"
"55635","DEPDC1","DEP domain containing 1","Under-expressed",""
"55789","DEPDC1B","DEP domain containing 1B","Under-expressed",""
"51071","DERA","deoxyribose-phosphate aldolase","Under-expressed",""
"1677","DFFB","DNA fragmentation factor subunit beta","Under-expressed",""
"1606","DGKA","diacylglycerol kinase alpha","Over-expressed",""
"1719","DHFR","dihydrofolate reductase","Under-expressed",""
"115817","DHRS1","dehydrogenase/reductase 1","Over-expressed",""
"9249","DHRS3","dehydrogenase/reductase 3","Over-expressed","GA:Sc"
"51635","DHRS7","dehydrogenase/reductase 7","Over-expressed",""
"1665","DHX15","DEAH-box helicase 15","Under-expressed",""
"1734","DIO2","iodothyronine deiodinase 2","Over-expressed",""
"115752","DIS3L","DIS3 like exosome 3'-5' exoribonuclease","Under-expressed",""
"1736","DKC1","dyskerin pseudouridine synthase 1","Under-expressed","CA:Hs"
"27122","DKK3","dickkopf WNT signaling pathway inhibitor 3","Over-expressed",""
"9787","DLGAP5","DLG associated protein 5","Under-expressed","L:Hs"
"1763","DNA2","DNA replication helicase/nuclease 2","Under-expressed","GA:Sc"
"11080","DNAJB4","DnaJ heat shock protein family (Hsp40) member B4","Over-expressed",""
"4189","DNAJB9","DnaJ heat shock protein family (Hsp40) member B9","Over-expressed",""
"1774","DNASE1L1","deoxyribonuclease 1 like 1","Over-expressed",""
"92737","DNER","delta/notch like EGF repeat containing","Over-expressed",""
"1786","DNMT1","DNA methyltransferase 1","Under-expressed","CA:Hs"
"139818","DOCK11","dedicator of cytokinesis 11","Under-expressed",""
"29980","DONSON","DNA replication fork stabilization factor DONSON","Under-expressed",""
"51611","DPH5","diphthamide biosynthesis 5","Under-expressed",""
"1803","DPP4","dipeptidyl peptidase 4","Over-expressed","GA:ScDR:ScCA:Hs"
"1809","DPYSL3","dihydropyrimidinase like 3","Under-expressed",""
"10570","DPYSL4","dihydropyrimidinase like 4","Over-expressed",""
"55332","DRAM1","DNA damage regulated autophagy modulator 1","Over-expressed",""
"79075","DSCC1","DNA replication and sister chromatid cohesion 1","Under-expressed",""
"79980","DSN1","DSN1 component of MIS12 kinetochore complex","Under-expressed",""
"51514","DTL","denticleless E3 ubiquitin protein ligase homolog","Under-expressed","CA:Hs"
"1841","DTYMK","deoxythymidylate kinase","Under-expressed",""
"11221","DUSP10","dual specificity phosphatase 10","Over-expressed","GA:Dm"
"1845","DUSP3","dual specificity phosphatase 3","Over-expressed","GA:ScGA:HsµCA:Hs"
"1848","DUSP6","dual specificity phosphatase 6","Over-expressed","GA:CeGA:HsµL:HsCA:Hs"
"1854","DUT","deoxyuridine triphosphatase","Under-expressed",""
"83657","DYNLRB2","dynein light chain roadblock-type 2","Over-expressed",""
"6990","DYNLT3","dynein light chain Tctex-type 3","Over-expressed",""
"1870","E2F2","E2F transcription factor 2","Under-expressed",""
"79733","E2F8","E2F transcription factor 8","Under-expressed",""
"10969","EBNA1BP2","EBNA1 binding protein 2","Under-expressed",""
"10682","EBP","EBP cholestenol delta-isomerase","Under-expressed",""
"79746","ECHDC3","enoyl-CoA hydratase domain containing 3","Under-expressed",""
"1894","ECT2","epithelial cell transforming 2","Under-expressed","CA:Hs"
"55741","EDEM2","ER degradation enhancing alpha-mannosidase like protein 2","Over-expressed","GA:Dm"
"10085","EDIL3","EGF like repeats and discoidin domains 3","Over-expressed",""
"1906","EDN1","endothelin 1","Over-expressed",""
"9521","EEF1E1","eukaryotic translation elongation factor 1 epsilon 1","Under-expressed","GA:HsCA:Hs"
"2202","EFEMP1","EGF containing fibulin extracellular matrix protein 1","Over-expressed","GA:MmGA:HsGA:Hsµ"
"10278","EFS","embryonal Fyn-associated substrate","Under-expressed",""
"1958","EGR1","early growth response 1","Under-expressed","GA:ScGA:HsGA:Hsµ"
"728689","EIF3CL","eukaryotic translation initiation factor 3 subunit C like","Under-expressed",""
"9775","EIF4A3","eukaryotic translation initiation factor 4A3","Under-expressed",""
"1978","EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","Under-expressed","GA:DmDR:DmL:HsCA:Hs"
"22936","ELL2","elongation factor for RNA polymerase II 2","Over-expressed",""
"54898","ELOVL2","ELOVL fatty acid elongase 2","Under-expressed","DR:Sc"
"56851","EMC7","ER membrane protein complex subunit 7","Over-expressed",""
"11117","EMILIN1","elastin microfibril interfacer 1","Under-expressed",""
"84034","EMILIN2","elastin microfibril interfacer 2","Under-expressed",""
"27436","EML4","EMAP like 4","Under-expressed",""
"2013","EMP2","epithelial membrane protein 2","Under-expressed",""
"8507","ENC1","ectodermal-neural cortex 1","Over-expressed",""
"2023","ENO1","enolase 1","Under-expressed","CA:Hs"
"5168","ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2","Under-expressed",""
"56943","ENY2","ENY2 transcription and export complex 2 subunit","Under-expressed",""
"2034","EPAS1","endothelial PAS domain protein 1","Over-expressed","GA:CeDR:CeCA:Hs"
"2037","EPB41L2","erythrocyte membrane protein band 4.1 like 2","Under-expressed",""
"2043","EPHA4","EPH receptor A4","Over-expressed",""
"54821","ERCC6L","ERCC excision repair 6 like, spindle assembly checkpoint helicase","Under-expressed",""
"2079","ERH","ERH mRNA splicing and mitosis factor","Under-expressed",""
"90459","ERI1","exoribonuclease 1","Under-expressed","GA:Ce"
"157570","ESCO2","establishment of sister chromatid cohesion N-acetyltransferase 2","Under-expressed",""
"9700","ESPL1","extra spindle pole bodies like 1, separase","Under-expressed","CA:Hs"
"2113","ETS1","ETS proto-oncogene 1, transcription factor","Under-expressed","CA:Hs"
"2118","ETV4","ETS variant transcription factor 4","Under-expressed",""
"51513","ETV7","ETS variant transcription factor 7","Over-expressed",""
"2130","EWSR1","EWS RNA binding protein 1","Under-expressed","CA:Hs"
"9156","EXO1","exonuclease 1","Under-expressed","GA:ScL:Hs"
"11340","EXOSC8","exosome component 8","Under-expressed",""
"5393","EXOSC9","exosome component 9","Under-expressed",""
"2146","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit","Under-expressed","GA:DmGA:ScGA:CeCA:Hs"
"2152","F3","coagulation factor III, tissue factor","Over-expressed","GA:Hsµ"
"2171","FABP5","fatty acid binding protein 5","Under-expressed","GA:CeGA:CeGA:CeGA:CeGA:DmGA:HsµDR:Mm"
"55179","FAIM","Fas apoptotic inhibitory molecule","Under-expressed",""
"63901","FAM111A","family with sequence similarity 111 member A","Under-expressed",""
"374393","FAM111B","family with sequence similarity 111 member B","Under-expressed",""
"116496","FAM129A","niban apoptosis regulator 1","Under-expressed",""
"51313","FAM198B","golgi associated kinase 1B","Over-expressed",""
"84293","FAM213A","peroxiredoxin like 2A","Under-expressed","GA:Hsµ"
"56204","FAM214A","family with sequence similarity 214 member A","Over-expressed",""
"80256","FAM214B","family with sequence similarity 214 member B","Over-expressed",""
"203259","FAM219A","family with sequence similarity 219 member A","Over-expressed",""
"131583","FAM43A","family with sequence similarity 43 member A","Over-expressed",""
"115572","FAM46B","terminal nucleotidyltransferase 5B","Under-expressed",""
"54855","FAM46C","terminal nucleotidyltransferase 5C","Under-expressed","GA:Hsµ"
"728833","FAM72D","family with sequence similarity 72 member D","Under-expressed",""
"81610","FAM83D","family with sequence similarity 83 member D","Under-expressed",""
"2175","FANCA","FA complementation group A","Under-expressed","L:Hs"
"2177","FANCD2","FA complementation group D2","Under-expressed","L:HsCA:Hs"
